kepid,koi_disposition,koi_score,rowid
10797460,CONFIRMED,1,1
10797460,CONFIRMED,0.969,2
10811496,CANDIDATE,0,3
10848459,FALSE POSITIVE,0,4
10854555,CONFIRMED,1,5
10872983,CONFIRMED,1,6
10872983,CONFIRMED,1,7
10872983,CONFIRMED,0.992,8
6721123,FALSE POSITIVE,0,9
10910878,CONFIRMED,1,10
11446443,CONFIRMED,0.811,11
10666592,CONFIRMED,1,12
6922244,CONFIRMED,0.998,13
10984090,CONFIRMED,1,14
10419211,FALSE POSITIVE,0,15
10464078,FALSE POSITIVE,0,16
10480982,FALSE POSITIVE,0,17
10485250,FALSE POSITIVE,0,18
10526549,CONFIRMED,1,19
10583066,CONFIRMED,1,20
10583180,FALSE POSITIVE,0,21
10601284,CONFIRMED,1,22
10601284,CONFIRMED,0.98,23
10601284,CONFIRMED,0.971,24
2306756,FALSE POSITIVE,,25
10662202,CONFIRMED,1,26
10682541,CONFIRMED,1,27
11460018,CONFIRMED,1,28
11463211,FALSE POSITIVE,0,29
11465813,FALSE POSITIVE,0,30
11493732,FALSE POSITIVE,0,31
11507101,CONFIRMED,1,32
10910878,CONFIRMED,0.992,33
10910878,CONFIRMED,1,34
10987985,CONFIRMED,1,35
11018648,CONFIRMED,1,36
11018648,CONFIRMED,0.978,37
11138155,CANDIDATE,1,38
11152159,FALSE POSITIVE,0,39
11153539,CONFIRMED,1,40
11242721,FALSE POSITIVE,0,41
9579641,CONFIRMED,1,42
11304958,CONFIRMED,0.998,43
11391957,CONFIRMED,1,44
11403044,CONFIRMED,1,45
11414511,CONFIRMED,1,46
11442465,FALSE POSITIVE,0,47
12110942,CONFIRMED,1,48
12366084,CONFIRMED,1,49
12366084,CONFIRMED,1,50
12404086,CONFIRMED,1,51
8395660,CONFIRMED,1,52
9579641,CONFIRMED,1,53
11656840,FALSE POSITIVE,0.014,54
11754553,CONFIRMED,1,55
11754553,CONFIRMED,1,56
11754553,CONFIRMED,1,57
11812062,CONFIRMED,1,58
11818800,CANDIDATE,0.999,59
11853255,CONFIRMED,1,60
11909839,FALSE POSITIVE,0,61
11918099,CONFIRMED,1,62
11918099,CANDIDATE,0.993,63
9579641,CANDIDATE,0.871,64
11923270,CONFIRMED,1,65
11960862,CONFIRMED,1,66
12020329,CONFIRMED,1,67
12066335,CONFIRMED,1,68
12066335,CONFIRMED,1,69
12070811,CONFIRMED,1,70
8395660,CONFIRMED,0.998,71
3120431,FALSE POSITIVE,0,72
3246984,FALSE POSITIVE,0.773,73
3342970,CONFIRMED,1,74
3342970,CONFIRMED,1,75
12459725,FALSE POSITIVE,,76
12470844,CONFIRMED,1,77
12470844,CONFIRMED,0.989,78
12644822,CONFIRMED,1,79
2440757,FALSE POSITIVE,0,80
2445129,FALSE POSITIVE,0,81
2713049,CONFIRMED,1,82
3114167,CONFIRMED,1,83
3114661,FALSE POSITIVE,0,84
3115833,CANDIDATE,1,85
4139816,CONFIRMED,1,86
4139816,CONFIRMED,1,87
8395660,CONFIRMED,0.952,88
4139816,CONFIRMED,0.994,89
4275191,CONFIRMED,1,90
4476123,CONFIRMED,0.999,91
3351888,CONFIRMED,1,92
3453214,CANDIDATE,1,93
3554600,FALSE POSITIVE,0,94
3641726,CONFIRMED,1,95
3734868,FALSE POSITIVE,0.053,96
3832474,CONFIRMED,1,97
8395660,CONFIRMED,0.95,98
3832474,CONFIRMED,0.745,99
3832474,CONFIRMED,,100
3836375,FALSE POSITIVE,0,101
3838486,FALSE POSITIVE,0,102
3935914,CONFIRMED,1,103
3940418,CONFIRMED,1,104
4049131,CONFIRMED,1,105
4139816,CONFIRMED,1,106
5287983,FALSE POSITIVE,0,107
5358241,CONFIRMED,1,108
10875245,CONFIRMED,1,109
5358241,CONFIRMED,0.998,110
5358241,CONFIRMED,1,111
5358624,CONFIRMED,0.99,112
4544670,CANDIDATE,1,113
4664847,CONFIRMED,1,114
4725681,CONFIRMED,1,115
4725681,CONFIRMED,0.995,116
4913852,CONFIRMED,1,117
4932348,FALSE POSITIVE,0,118
4936180,CANDIDATE,0,119
11913073,FALSE POSITIVE,0,120
10875245,CONFIRMED,0.992,121
5021899,CONFIRMED,1,122
5077629,FALSE POSITIVE,0,123
5115978,CANDIDATE,,124
5164255,CONFIRMED,1,125
5252423,CONFIRMED,1,126
5252423,CONFIRMED,1,127
5272878,CONFIRMED,1,128
5283542,FALSE POSITIVE,0.037,129
5649215,FALSE POSITIVE,0,130
5651104,CONFIRMED,1,131
5792202,CONFIRMED,1,132
10875245,CONFIRMED,0.998,133
5792202,CONFIRMED,1,134
5370302,FALSE POSITIVE,0.006,135
5372966,FALSE POSITIVE,0,136
5376067,FALSE POSITIVE,0,137
5436502,CONFIRMED,0.999,138
