kepid,koi_disposition,koi_period,koi_time0bk,koi_duration
10797460,CONFIRMED,9.48803557,170.53875,2.9575
10797460,CONFIRMED,54.4183827,162.51384,4.507
10811496,CANDIDATE,19.89913995,175.850252,1.7822
10848459,FALSE POSITIVE,1.736952453,170.307565,2.40641
10854555,CONFIRMED,2.525591777,171.59555,1.6545
10872983,CONFIRMED,11.09432054,171.20116,4.5945
10872983,CONFIRMED,4.13443512,172.97937,3.1402
10872983,CONFIRMED,2.56658897,179.55437,2.429
6721123,FALSE POSITIVE,7.36178958,132.25053,5.022
10910878,CONFIRMED,16.06864674,173.621937,3.5347
11446443,CONFIRMED,2.470613377,122.763305,1.74319
10666592,CONFIRMED,2.204735417,121.3585417,3.88864
6922244,CONFIRMED,3.522498429,121.1194228,3.19843
10984090,CONFIRMED,3.709214104,133.98318,2.6302
10419211,FALSE POSITIVE,11.52144606,170.839688,3.6399
10464078,FALSE POSITIVE,19.40393776,172.484253,12.2155
10480982,FALSE POSITIVE,19.22138894,184.5521637,4.79843
10485250,FALSE POSITIVE,16.46983774,180.881761,9.4378
10526549,CONFIRMED,9.27358173,173.258155,3.2875
10583066,CONFIRMED,6.02930329,171.602959,1.5821
10583180,FALSE POSITIVE,2.696370652,170.73769,3.6129
10601284,CONFIRMED,5.349553819,171.80694,3.0278
10601284,CONFIRMED,3.94105221,136.08662,2.5984
10601284,CONFIRMED,8.10904807,132.8031,3.596
2306756,FALSE POSITIVE,386.6030528,166.342079,6.8057
10662202,CONFIRMED,21.67699193,171.53594,3.4555
10682541,CONFIRMED,4.99677968,171.74208,2.1717
11460018,CONFIRMED,4.280963604,171.89659,2.875
11463211,FALSE POSITIVE,1.50635409,170.998064,1.5155
11465813,FALSE POSITIVE,670.645531,209.04355,53.412
11493732,FALSE POSITIVE,61.2563628,173.83826,7.633
11507101,CONFIRMED,38.3775486,172.82048,5.588
10910878,CONFIRMED,41.19725502,165.00404,4.6297
10910878,CONFIRMED,6.252962249,171.30126,2.5819
10987985,CONFIRMED,16.01308419,176.3608,3.2554
11018648,CONFIRMED,32.62876672,194.1019,4.7971
11018648,CONFIRMED,91.7732862,193.8378,6.473
11138155,CANDIDATE,4.959319244,172.2585292,2.22739
11152159,FALSE POSITIVE,2.701287801,170.69579,3.3827
11153539,CONFIRMED,4.49876511,171.34905,3.7362
11242721,FALSE POSITIVE,19.65120951,179.401981,5.2514
9579641,CONFIRMED,5.412203927,133.143089,2.9472
11304958,CONFIRMED,41.43958662,208.93203,10.5989
11391957,CONFIRMED,8.35389523,171.63257,2.2514
11403044,CONFIRMED,4.125543472,169.752585,3.1744
11414511,CONFIRMED,2.816504904,170.9676846,2.50587
11442465,FALSE POSITIVE,33.93373447,186.67608,14.561
12110942,CONFIRMED,3.689920099,170.36571,2.6557
12366084,CONFIRMED,4.431238488,171.015,3.15
12366084,CONFIRMED,11.37936986,133.84992,2.6255
12404086,CONFIRMED,26.39432897,176.05459,3.573
8395660,CONFIRMED,13.57078281,136.279194,3.3539
9579641,CONFIRMED,7.12594387,139.00492,3.0014
11656840,FALSE POSITIVE,7.442652004,169.9717797,2.3078
11754553,CONFIRMED,16.38489988,172.72782,3.0249
11754553,CONFIRMED,7.8774163,176.3759,2.0805
11754553,CONFIRMED,36.4454001,151.60125,4.007
11812062,CONFIRMED,3.728732147,171.793255,2.683
11818800,CANDIDATE,40.4195037,173.56469,3.362
11853255,CONFIRMED,2.243380573,170.679233,1.1196
11909839,FALSE POSITIVE,10.40599802,177.197466,6.5036
11918099,CONFIRMED,2.337437946,171.761982,1.9982
11918099,CANDIDATE,7.2406612,137.75545,0.558
9579641,CANDIDATE,3.43591631,132.6624,3.133
11923270,CONFIRMED,11.59822233,180.395376,2.5237
11960862,CONFIRMED,6.575315881,173.634044,4.3084
12020329,CONFIRMED,7.275040844,169.994217,7.5377
12066335,CONFIRMED,19.27153892,186.77093,2.7594
12066335,CONFIRMED,10.06524317,136.28906,1.369
12070811,CONFIRMED,12.3935651,178.74725,3.8896
8395660,CONFIRMED,43.84439721,151.93538,6.802
3120431,FALSE POSITIVE,3.341913228,171.63943,3.813
3246984,FALSE POSITIVE,1.626630225,169.820171,2.1145
3342970,CONFIRMED,2.711504086,170.03417,3.0099
3342970,CONFIRMED,7.21203748,172.81782,4.0491
12459725,FALSE POSITIVE,14.1798187,171.50237,2.505
12470844,CONFIRMED,8.47237911,174.16212,2.7245
12470844,CONFIRMED,60.4189369,181.16367,5.039
12644822,CONFIRMED,12.61190435,180.892284,5.1497
2440757,FALSE POSITIVE,1.433769925,170.403536,1.8868
2445129,FALSE POSITIVE,10.31872301,173.31543,3.836
2713049,CONFIRMED,2.539183147,169.67494,2.4282
3114167,CONFIRMED,6.770300385,170.57662,2.0844
3114661,FALSE POSITIVE,0.444291966,169.865406,2.0792
3115833,CANDIDATE,10.181584,177.141891,3.5089
4139816,CONFIRMED,20.06036336,147.46554,3.3203
4139816,CONFIRMED,46.1842039,165.23729,4.758
8395660,CONFIRMED,23.9800854,147.537,5.351
4139816,CONFIRMED,7.82502168,136.54995,2.186
4275191,CONFIRMED,3.895936525,170.527552,2.3111
4476123,CONFIRMED,22.36646466,175.45862,5.228
3351888,CONFIRMED,1.625522174,170.8266564,2.38963
3453214,CANDIDATE,19.62034692,181.881819,2.0038
3554600,FALSE POSITIVE,7.544039,171.7982,6.222
3641726,CONFIRMED,9.02930689,177.20422,3.1449
3734868,FALSE POSITIVE,10.32803571,174.581054,7.7915
3832474,CONFIRMED,143.2063047,154.23552,8.9302
