# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar 12 08:21:15 2022
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN tid:            TESS Input Catalog ID
#
tfopwg_disp,tid
FP,50365310
PC,88863718
FP,124709665
FP,106997505
FP,238597883
FP,169904935
FP,156115721
PC,65212867
FP,440801822
PC,107782586
KP,231663901
FP,139853601
PC,114018671
PC,427508467
FP,97700520
PC,96246348
PC,155044736
FP,175310067
FP,182943944
FP,291555748
PC,341420329
KP,149603524
FP,140706664
FP,143994283
PC,47384844
FP,238374636
FP,141482386
PC,297967252
FP,388624270
PC,20318757
PC,20318757
FP,447283466
FP,374908020
KP,336732616
FP,464296022
FP,304021498
PC,146589986
FP,149601557
FP,400595342
PC,361413119
PC,146172354
FP,363260203
FP,90544017
APC,461867584
KP,231670397
FP,310483807
FP,385624852
PC,360286627
FP,90448944
PC,463402815
FP,54044474
FP,309787037
FP,370745311
FP,384549882
KP,16288184
KP,144065872
KP,66818296
FA,259863352
PC,317060587
FP,112395568
CP,366989877
CP,320004517
PC,421894914
PC,323132914
PC,31553893
PC,380783252
KP,38846515
APC,101230735
FP,253990973
CP,299799658
PC,406976746
CP,79748331
CP,79748331
KP,7088246
KP,201604954
KP,201642601
KP,6663331
KP,31858843
KP,92352620
FP,31858844
KP,120247528
FP,140830390
CP,158297421
PC,327301957
PC,351601843
KP,360742636
PC,369960846
CP,370133522
PC,379240073
KP,289793076
PC,161032923
PC,253728991
PC,261108236
PC,322270620
KP,380589029
APC,381979901
PC,468148930
FP,426077080
FA,343648136
FP,129319156
KP,29344935
FP,361034196
PC,193413306
FP,387079085
FP,382331352
APC,136274063
PC,375223080
FP,375225453
PC,360630575
CP,383390264
PC,290348383
KP,281459670
PC,318608749
FP,271581073
FP,311890977
PC,351603103
PC,451599528
PC,274151135
PC,384513078
PC,394561119
FP,295599256
FP,50309953
KP,355703913
FP,446549905
FP,412014494
FP,369864738
FP,290348382
APC,409934330
APC,379286801
PC,304100538
PC,295541511
FP,90919952
APC,261369656
KP,388104525
FP,143257766
FP,24094603
FP,304774444
APC,469782185
APC,128790976
PC,80166433
FP,405862830
FP,269450900
FP,425721385
FP,91576611
KP,97409519
CP,254113311
CP,254113311
PC,198213332
FP,267489265
FP,69997672
FP,122220263
PC,154872375
PC,142276270
PC,142276270
PC,142276270
PC,142276270
PC,89389197
FP,110428269
PC,202563254
KP,25155310
FP,320525204
FP,159510109
FP,284450803
FP,160268701
KP,28230919
FP,350995812
FP,21755546
FP,288391628
KP,349827430
APC,117789567
KP,281541555
KP,16740101
KP,69679391
FA,237184773
APC,154840461
PC,459970307
FP,161450762
FP,117256577
APC,147576037
FP,379931600
FP,48188920
KP,238176110
FP,89510024
KP,158324245
PC,13419950
PC,375542276
FP,16102323
KP,458478250
FP,138361973
FP,232967666
FP,41330864
PC,302518439
KP,322307342
FP,294176967
FP,101929303
FP,1717732429
PC,232967440
PC,154089169
FP,30329585
PC,230088370
FP,169177766
FP,359496368
APC,148914726
CP,266980320
PC,158002130
PC,229510866
FP,341544930
FP,258777137
PC,233087860
FP,83210867
APC,289539327
PC,372757221
FP,15247229
PC,112026224
PC,278683844
PC,278683844
APC,287196418
FP,237185205
APC,158276040
FP,89643259
PC,147950620
FP,24364065
PC,69068526
PC,92677094
KP,203189770
PC,99869022
CP,394137592
FP,288185138
CP,29960110
FP,327017634
CP,23434737
PC,467666275
PC,287776397
FP,308034948
PC,364393429
PC,273985865
PC,273985865
PC,30037565
APC,207081058
FP,33878688
PC,50312495
PC,389924075
FP,399144800
PC,451606970
PC,453260209
PC,141527965
PC,248092710
PC,294781547
PC,294981566
CP,231702397
APC,319259194
PC,349095149
PC,374997123
PC,382437043
PC,299798795
PC,150428703
PC,150428703
PC,177115354
CP,360156606
PC,300038935
APC,140760434
CP,290131778
CP,287156968
CP,447061717
PC,364395234
CP,260647166
CP,260647166
CP,260647166
CP,260647166
PC,90504905
CP,103633434
KP,120757718
KP,120960812
PC,153951307
PC,153951307
CP,154716798
APC,29831208
KP,158170594
PC,159107668
PC,198212955
PC,219698776
PC,219850915
PC,229781583
PC,230127302
PC,230127302
PC,230127302
PC,230127302
PC,232540264
PC,232612416
PC,232976128
CP,52368076
CP,52368076
CP,52368076
FA,233059608
APC,233120979
PC,233211762
PC,233684822
PC,236714379
CP,237222864
FP,274762761
KP,278348461
PC,288132261
CP,288735205
KP,70440470
CP,355867695
CP,355867695
PC,355867695
PC,356311210
PC,365938305
PC,406672232
PC,416195870
KP,424865156
CP,467179528
CP,467179528
KP,158561566
PC,142394656
PC,198241702
PC,198241702
CP,234523599
APC,237200747
KP,286923464
PC,417948359
PC,445859771
PC,459969957
PC,13499636
FA,43064903
FA,153949511
PC,153949511
CP,163539739
PC,224297258
PC,391949880
PC,230017324
PC,232971294
KP,236445129
KP,266593143
FP,267561446
FP,274662200
APC,277507814
PC,352764091
PC,365733349
FP,408203470
CP,201248411
KP,417676622
PC,198186769
FP,199688472
PC,202504234
PC,219015370
PC,219852584
CP,219854185
FP,229536616
CP,237104103
FP,258777134
CP,263003176
KP,293687315
PC,356867115
PC,441797803
FP,185405474
FP,186000935
FP,232679662
FP,233735068
PC,236815160
FP,277014266
FP,287190564
APC,235037761
FP,294179389
APC,378159598
PC,405904232
FP,11111899
PC,136848581
FP,137284119
FP,15565627
FP,165523947
PC,167092385
FP,167098530
CP,89020549
PC,167403519
FP,195199644
APC,240450679
FP,256886630
PC,266688542
FP,274942910
APC,275111900
APC,312083267
PC,330332501
FP,345996087
PC,219338557
PC,357457104
FP,387664866
FP,387664868
CP,395171208
FP,42123111
FP,89759617
FP,92783821
KP,160708862
CP,260128333
CP,269701147
CP,269701147
CP,269701147
CP,234994474
FP,233681149
FP,233390838
FP,256621916
FP,358631536
APC,1400770435
PC,160487753
PC,219852882
PC,219852882
PC,229747848
PC,229747848
FP,229770036
APC,272635712
CP,267263253
PC,233953967
APC,1718201850
APC,336740528
PC,279177746
FP,365683032
PC,372264750
PC,277566483
FP,357972447
FP,275501623
FP,416624606
CP,410153553
FP,330468175
PC,277447970
PC,395142888
FP,230017325
PC,26880783
FP,367099243
APC,120602501
FP,129539786
FP,136971594
PC,155005217
FA,176957796
FP,155114483
APC,162130054
FP,164150539
KP,176899385
FP,190430205
FP,190442486
PC,190743990
FP,240613164
APC,249812036
APC,252490659
APC,277683130
FP,274170255
PC,275722992
FA,276360911
FP,313506357
FP,328167090
FP,329864959
PC,343019899
FP,343442463
KP,346338552
PC,353038705
PC,62483237
FP,365389353
FP,389182138
FP,416987878
PC,430528566
PC,431156009
PC,468472950
FP,468845640
FP,64553698
APC,66445643
PC,66783360
APC,140068425
FP,258801269
APC,259126549
FP,259129875
PC,328750515
PC,352239069
PC,352239069
FP,387834907
CP,231736113
KP,69747919
PC,364186197
APC,115771549
CP,403224672
PC,199444169
PC,116483514
APC,116483734
PC,119700084
APC,125442121
PC,148782377
PC,158025009
CP,164173105
FA,224600500
KP,311035838
PC,425934411
PC,321857016
APC,329277372
PC,333473672
PC,346418409
PC,418959198
APC,350132371
FP,128501004
FP,2041563029
FP,377304435
FP,138968089
KP,25375553
PC,293954617
CP,375506058
PC,256783784
APC,13684720
PC,138588540
PC,153976959
PC,154383539
PC,198356533
PC,229650439
PC,229650439
PC,232982558
CP,261136679
PC,233617847
PC,233617847
PC,233951353
CP,235683377
PC,237232044
CP,258514800
PC,259172391
PC,259172391
PC,294471966
PC,298073824
PC,343628284
PC,356158613
PC,356158613
PC,265612438
PC,377293776
PC,417931607
PC,420112589
PC,198390247
PC,198390247
PC,294179385
APC,387259626
CP,199376584
APC,176860064
KP,191284318
PC,16920150
FP,355636844
APC,17005768
APC,44631965
CP,188768068
KP,190998418
PC,229944666
KP,236887394
PC,237086564
PC,240968774
PC,243185500
PC,243185500
KP,283722336
KP,283722336
FP,220435095
PC,284441182
PC,306263608
PC,306955329
PC,352413427
FP,427654774
PC,431514478
KP,432549364
KP,240681314
CP,409794137
FP,421308357
CP,393940766
PC,335483600
PC,197650870
PC,252616865
FP,452803785
FP,67309890
PC,377191482
FP,233541860
FA,459978312
FA,198457103
PC,219751469
PC,260985861
PC,283474780
PC,53875855
FP,354594208
CP,15692883
CP,411608801
FP,431148743
FP,384045439
FP,371673488
FP,316402246
FP,414870287
CP,271893367
FP,377420580
FP,329145325
FP,410528770
FP,428065977
FP,326114850
PC,331034236
PC,64836837
FP,430677414
PC,415741431
FP,272828463
FP,382302241
FP,377739433
FP,376682699
PC,434718964
FP,269509393
FP,270238522
FP,470709084
PC,376637093
FP,455962313
CP,427761355
FP,272049972
FP,403287048
PC,269238073
PC,366074069
PC,367102581
FP,387413037
FP,314338017
FP,276380902
FP,313761775
PC,202375913
PC,285543785
FP,312259170
APC,231081369
FP,312469860
APC,312678993
PC,327579226
PC,345143460
FP,354600221
FP,420288086
PC,445137888
PC,173612049
PC,177244357
PC,252636888
FP,389525208
FP,318746829
FP,319068154
FA,367607434
FP,431585347
PC,455791689
FP,127425841
PC,194203348
FP,409520860
PC,440100539
FP,191146556
PC,129637892
FP,241065596
PC,288348498
PC,326919774
APC,327341626
KP,299158887
FP,441732151
FP,405794804
FP,320506985
FP,117322779
PC,241040309
FP,220518305
PC,241076290
FP,245462406
FP,249862365
PC,249945230
APC,250724252
PC,251384275
FP,256414077
APC,259151170
FP,284050395
APC,285666479
CP,140691463
FP,285674856
FP,285677945
FP,292321872
KP,302773669
FP,307111282
FP,316254876
PC,327011842
FP,332154944
FP,348135793
FP,354400186
FP,403136413
KP,354469661
PC,370759867
FP,374400599
FP,403256331
FP,418987806
FP,444415148
PC,445144327
FP,458914949
PC,50120414
FP,52041724
PC,394657039
FP,71854745
FP,82010657
FP,186599508
PC,192372961
FP,201154493
FP,385105624
